"","Station","Year","Month","Air_temp","Division","Lat (degree/min)","Lon (degree/min)","Y","X","Time","Max","Min","Region","Avg","Season","Rain","Humidity"
"1","Ambagan(Ctg)",1981,"January",NA,"Chittagong",22.13,91.48,22.35,91.817,"29587",NA,NA,"ER",NA,"Winter",NA,NA
"2","Barisal",1981,"January","18.5","Barisal",23.43,90.22,22.717,90.367,"29587",28,10.3,"SWR",19.15,"Winter",24,78
"3","Bhola",1981,"January","19","Barisal",22.41,90.39,22.683,90.65,"29587",28,11,"SWR",19.5,"Winter",51,78
"4","Bogra",1981,"January","17.600000000000001","Rajshahi",24.51,89.22,24.85,89.367,"29587",27.9,10.3,"NWR",19.1,"Winter",32,78
"5","Chandpur",1981,"January","18.899999999999999","Chittagong",23.14,90.42,23.267,90.7,"29587",27.1,11.5,"ER",19.3,"Winter",8,77
"6","Chittagong (cv/mil)",1981,"January","19.8","Chittagong",22.21,91.49,22.267,91.817,"29587",28,13,"ER",20.5,"Winter",15,72
"7","chuadanga",1981,"January",NA,"Khulna",23.39,88.49,23.65,88.8167,"29587",NA,NA,"NWR",NA,"Winter",NA,NA
"8","Comilla",1981,"January","18.5","Chittagong",23.26,91.11,23.433,91.183,"29587",27.7,9.4,"ER",18.55,"Winter",16,72
"9","Cox`s bazar",1981,"January","20.8","Chittagong",21.27,91.58,21.433,91.967,"29587",28,13,"ER",20.5,"Winter",NA,NA
"10","Dhaka/tejgaon (mil)",1981,"January","19.3","Dhaka",23.47,90.23,23.767,90.383,"29587",27.8,10.6,"Dhaka",19.2,"Winter",10,70
"11","Dinajpur",1981,"January","19","Rangpur",25.39,88.41,25.65,88.683,"29587",26,8,"NWR",17,"Winter",27,76
"12","Faridpur",1981,"January","18.2","Dhaka",23.36,89.51,23.617,89.85,"29587",28.3,10.6,"CR w/o Dhaka",19.45,"Winter",10,74
"13","Feni",1981,"January","19.5","Chittagong",23.02,91.25,23,91.4,"29587",29.6,11.6,"ER",20.6,"Winter",0,71
"14","Hatia",1981,"January",NA,"Chittagong",22.27,91.6,22.433,91.1,"29587",NA,NA,"ER",NA,"Winter",NA,NA
"15","Ishurdi",1981,"January","17","Khulna",24.09,89.2,24.15,89.033,"29587",27,6,"NWR",16.5,"Winter",30,74
"16","Jessore (civ/mil)",1981,"January","18.3","Khulna",23.12,89.2,23.183,89.167,"29587",28.9,9.2,"SWR",19.05,"Winter",8,71
"17","Khepupara",1981,"January","20.8","Barisal",21.59,90.14,21.983,90.233,"29587",27.9,12.2,"SWR",20.05,"Winter",35,65
"18","Khulna",1981,"January","18.3","Khulna",22.47,89.32,22.85,89.567,"29587",28.4,9.2,"SWR",18.8,"Winter",23,78
"19","Kutubdia",1981,"January",NA,"Chittagong",21.49,91.51,21.81666667,91.85,"29587",NA,NA,"ER",NA,"Winter",NA,NA
"20","M.court",1981,"January","20.2","Chittagong",22.52,91.6,22.867,92,"29587",27.8,11.7,"ER",19.75,"Winter",108,71
"21","Madaripur",1981,"January","20.399999999999999","Dhaka",23.1,90.11,23.167,90.183,"29587",28.3,10.3,"CR w/o Dhaka",19.3,"Winter",56,72
"22","Mongla",1981,"January",NA,"Khulna",22.28,89.36,22.467,89.6,"29587",NA,NA,"SWR",NA,"Winter",NA,NA
"23","Mymensingn",1981,"January","20.8","Dhaka",24.44,90.25,24.717,90.433,"29587",28,NA,"CR w/o Dhaka",NA,"Winter",NA,NA
"24","Patuakhali",1981,"January","20.399999999999999","Barisal",22.2,90.2,22.33333333,90.33333,"29587",28.1,11.2,"SWR",19.65,"Winter",36,69
"25","Rajshahi",1981,"January","17.3","Rajshahi",24.22,88.42,24.383,88.6,"29587",26.8,9,"NWR",17.9,"Winter",71,76
"26","Rangamati",1981,"January","****","Chittagong",22.38,92.09,22.633,92.2,"29587",NA,NA,"ER",NA,"Winter",NA,NA
"27","Rangpur",1981,"January","17.2","Rangpur",25.44,89.16,25.733,89.233,"29587",25.2,9,"NWR",17.1,"Winter",20,76
"28","Sandwip",1981,"January","21.6","Chittagong",22.29,91.26,22.483,91.417,"29587",28.5,13.2,"ER",20.85,"Winter",42,84
"29","Satkhira",1981,"January","20","Khulna",22.43,89.05,22.717,89.083,"29587",28.3,8.5,"SWR",18.4,"Winter",31,66
"30","Sitakundu",1981,"January","19.399999999999999","Chittagong",22.38,91.42,22.583,91.7,"29587",27.7,12,"ER",19.85,"Winter",NA,NA
"31","Srimangal",1981,"January",NA,"Sylhet",24.18,91.44,24.3,91.73333333,"29587",NA,NA,"ER",NA,"Winter",NA,NA
"32","Sydpur",1981,"January",NA,"Rangpur",25.45,88.55,25.75,88.917,"29587",NA,NA,"NWR",NA,"Winter",NA,NA
"33","Sylhet",1981,"January","18.600000000000001","Sylhet",24.54,91.53,24.9,91.883,"29587",28.1,10.8,"ER",19.45,"Winter",21,70
"34","Tangail",1981,"January",NA,"Dhaka",24.15,89.56,24.25,89.933,"29587",NA,NA,"CR w/o Dhaka",NA,"Winter",NA,NA
"35","Teknaf",1981,"January","22.9","Chittagong",20.52,92.18,20.417,92.3,"29587",29.5,14,"ER",21.75,"Winter",15,73
"36","Ambagan(Ctg)",1981,"February",NA,"Chittagong",22.13,91.48,22.35,91.817,"29618",NA,NA,"ER",NA,"Winter",NA,NA
"37","Barisal",1981,"February","21.5","Barisal",23.43,90.22,22.717,90.367,"29618",33.1,10.5,"SWR",21.8,"Winter",43,75
"38","Bhola",1981,"February","21.7","Barisal",22.41,90.39,22.683,90.65,"29618",33,11.4,"SWR",22.2,"Winter",16,74
"39","Bogra",1981,"February","20.5","Rajshahi",24.51,89.22,24.85,89.367,"29618",33.3,11.1,"NWR",22.2,"Winter",20,67
"40","Chandpur",1981,"February","21.3","Chittagong",23.14,90.42,23.267,90.7,"29618",32.4,11,"ER",21.7,"Winter",6,73
"41","Chittagong (cv/mil)",1981,"February","21.9","Chittagong",22.21,91.49,22.267,91.817,"29618",31.5,13,"ER",22.25,"Winter",2,66
"42","chuadanga",1981,"February",NA,"Khulna",23.39,88.49,23.65,88.8167,"29618",NA,NA,"NWR",NA,"Winter",NA,NA
"43","Comilla",1981,"February","21","Chittagong",23.26,91.11,23.433,91.183,"29618",31.7,11.1,"ER",21.4,"Winter",13,72
"44","Cox`s bazar",1981,"February","22.6","Chittagong",21.27,91.58,21.433,91.967,"29618",32,13,"ER",22.5,"Winter",NA,NA
"45","Dhaka/tejgaon (mil)",1981,"February","21.5","Dhaka",23.47,90.23,23.767,90.383,"29618",32.9,10,"Dhaka",21.45,"Winter",42,67
"46","Dinajpur",1981,"February","19.399999999999999","Rangpur",25.39,88.41,25.65,88.683,"29618",25.2,8.8,"NWR",17,"Winter",47,75
"47","Faridpur",1981,"February","20.6","Dhaka",23.36,89.51,23.617,89.85,"29618",34.6,9.9,"CR w/o Dhaka",22.25,"Winter",58,73
"48","Feni",1981,"February","22.4","Chittagong",23.02,91.25,23,91.4,"29618",34.1,13,"ER",23.55,"Winter",37,66
"49","Hatia",1981,"February",NA,"Chittagong",22.27,91.6,22.433,91.1,"29618",NA,NA,"ER",NA,"Winter",NA,NA
"50","Ishurdi",1981,"February","19.8","Khulna",24.09,89.2,24.15,89.033,"29618",33,10,"NWR",21.5,"Winter",81,70
"51","Jessore (civ/mil)",1981,"February","21.1","Khulna",23.12,89.2,23.183,89.167,"29618",34,9.7,"SWR",21.85,"Winter",108,70
"52","Khepupara",1981,"February","23.6","Barisal",21.59,90.14,21.983,90.233,"29618",32,10.7,"SWR",21.35,"Winter",13,64
"53","Khulna",1981,"February","21.4","Khulna",22.47,89.32,22.85,89.567,"29618",34.3,9.6,"SWR",21.95,"Winter",42,75
"54","Kutubdia",1981,"February",NA,"Chittagong",21.49,91.51,21.81666667,91.85,"29618",NA,NA,"ER",NA,"Winter",NA,NA
"55","M.court",1981,"February","22.5","Chittagong",22.52,91.6,22.867,92,"29618",32.2,12.2,"ER",22.2,"Winter",4,68
"56","Madaripur",1981,"February","22.9","Dhaka",23.1,90.11,23.167,90.183,"29618",34,9.7,"CR w/o Dhaka",21.85,"Winter",35,66
"57","Mongla",1981,"February",NA,"Khulna",22.28,89.36,22.467,89.6,"29618",NA,NA,"SWR",NA,"Winter",NA,NA
"58","Mymensingn",1981,"February","23.2","Dhaka",24.44,90.25,24.717,90.433,"29618",32,NA,"CR w/o Dhaka",NA,"Winter",NA,NA
"59","Patuakhali",1981,"February","23.4","Barisal",22.2,90.2,22.33333333,90.33333,"29618",32.6,12.4,"SWR",22.5,"Winter",13,67
"60","Rajshahi",1981,"February","20.3","Rajshahi",24.22,88.42,24.383,88.6,"29618",34.3,10.6,"NWR",22.45,"Winter",49,69
"61","Rangamati",1981,"February","****","Chittagong",22.38,92.09,22.633,92.2,"29618",NA,NA,"ER",NA,"Winter",NA,NA
"62","Rangpur",1981,"February","19.600000000000001","Rangpur",25.44,89.16,25.733,89.233,"29618",32,8.5,"NWR",20.25,"Winter",10,68
"63","Sandwip",1981,"February","24","Chittagong",22.29,91.26,22.483,91.417,"29618",31.5,13.5,"ER",22.5,"Winter",1,80
"64","Satkhira",1981,"February","23.1","Khulna",22.43,89.05,22.717,89.083,"29618",34.4,10,"SWR",22.2,"Winter",40,66
"65","Sitakundu",1981,"February","21.7","Chittagong",22.38,91.42,22.583,91.7,"29618",32,11,"ER",21.5,"Winter",NA,NA
"66","Srimangal",1981,"February",NA,"Sylhet",24.18,91.44,24.3,91.73333333,"29618",NA,NA,"ER",NA,"Winter",NA,NA
"67","Sydpur",1981,"February",NA,"Rangpur",25.45,88.55,25.75,88.917,"29618",NA,NA,"NWR",NA,"Winter",NA,NA
"68","Sylhet",1981,"February","20.3","Sylhet",24.54,91.53,24.9,91.883,"29618",32.2,11.3,"ER",21.75,"Winter",39,69
"69","Tangail",1981,"February",NA,"Dhaka",24.15,89.56,24.25,89.933,"29618",NA,NA,"CR w/o Dhaka",NA,"Winter",NA,NA
"70","Teknaf",1981,"February","24.8","Chittagong",20.52,92.18,20.417,92.3,"29618",32.4,14,"ER",23.2,"Winter",2,72
"71","Ambagan(Ctg)",1981,"March",NA,"Chittagong",22.13,91.48,22.35,91.817,"29646",NA,NA,"ER",NA,"Summer",NA,NA
"72","Barisal",1981,"March","24.5","Barisal",23.43,90.22,22.717,90.367,"29646",33.5,15,"SWR",24.25,"Summer",115,76
"73","Bhola",1981,"March","24.6","Barisal",22.41,90.39,22.683,90.65,"29646",33.7,15.8,"SWR",24.75,"Summer",119,75
"74","Bogra",1981,"March","24.1","Rajshahi",24.51,89.22,24.85,89.367,"29646",35.1,13.9,"NWR",24.5,"Summer",25,62
"75","Chandpur",1981,"March","24.3","Chittagong",23.14,90.42,23.267,90.7,"29646",32.6,14.9,"ER",23.75,"Summer",20,73
"76","Chittagong (cv/mil)",1981,"March","24.5","Chittagong",22.21,91.49,22.267,91.817,"29646",31.6,16,"ER",23.8,"Summer",129,69
"77","chuadanga",1981,"March",NA,"Khulna",23.39,88.49,23.65,88.8167,"29646",NA,NA,"NWR",NA,"Summer",NA,NA
"78","Comilla",1981,"March","23.7","Chittagong",23.26,91.11,23.433,91.183,"29646",31.7,14.4,"ER",23.05,"Summer",101,73
"79","Cox`s bazar",1981,"March","25.4","Chittagong",21.27,91.58,21.433,91.967,"29646",32,16,"ER",24,"Summer",NA,NA
"80","Dhaka/tejgaon (mil)",1981,"March","24.8","Dhaka",23.47,90.23,23.767,90.383,"29646",34,15,"Dhaka",24.5,"Summer",109,65
"81","Dinajpur",1981,"March","21.3","Rangpur",25.39,88.41,25.65,88.683,"29646",27.5,13,"NWR",20.25,"Summer",0,68
"82","Faridpur",1981,"March","24","Dhaka",23.36,89.51,23.617,89.85,"29646",34.6,14.4,"CR w/o Dhaka",24.5,"Summer",140,69
"83","Feni",1981,"March","24.9","Chittagong",23.02,91.25,23,91.4,"29646",33.5,15.5,"ER",24.5,"Summer",72,70
"84","Hatia",1981,"March",NA,"Chittagong",22.27,91.6,22.433,91.1,"29646",NA,NA,"ER",NA,"Summer",NA,NA
"85","Ishurdi",1981,"March","23.6","Khulna",24.09,89.2,24.15,89.033,"29646",34,11,"NWR",22.5,"Summer",64,65
"86","Jessore (civ/mil)",1981,"March","24.8","Khulna",23.12,89.2,23.183,89.167,"29646",34.5,14,"SWR",24.25,"Summer",45,66
"87","Khepupara",1981,"March","26.6","Barisal",21.59,90.14,21.983,90.233,"29646",32.8,17.4,"SWR",25.1,"Summer",97,68
"88","Khulna",1981,"March","24.4","Khulna",22.47,89.32,22.85,89.567,"29646",34.6,14.5,"SWR",24.55,"Summer",220,75
"89","Kutubdia",1981,"March",NA,"Chittagong",21.49,91.51,21.81666667,91.85,"29646",NA,NA,"ER",NA,"Summer",NA,NA
"90","M.court",1981,"March","25.7","Chittagong",22.52,91.6,22.867,92,"29646",33.3,15.6,"ER",24.45,"Summer",77,71
"91","Madaripur",1981,"March","25.9","Dhaka",23.1,90.11,23.167,90.183,"29646",34,14,"CR w/o Dhaka",24,"Summer",142,70
"92","Mongla",1981,"March",NA,"Khulna",22.28,89.36,22.467,89.6,"29646",NA,NA,"SWR",NA,"Summer",NA,NA
"93","Mymensingn",1981,"March","27","Dhaka",24.44,90.25,24.717,90.433,"29646",34.1,NA,"CR w/o Dhaka",NA,"Summer",NA,NA
"94","Patuakhali",1981,"March","26.1","Barisal",22.2,90.2,22.33333333,90.33333,"29646",35.1,11.5,"SWR",23.3,"Summer",184,70
"95","Rajshahi",1981,"March","24.1","Rajshahi",24.22,88.42,24.383,88.6,"29646",35.2,12.2,"NWR",23.7,"Summer",26,62
"96","Rangamati",1981,"March","****","Chittagong",22.38,92.09,22.633,92.2,"29646",NA,NA,"ER",NA,"Summer",NA,NA
"97","Rangpur",1981,"March","23.6","Rangpur",25.44,89.16,25.733,89.233,"29646",34.8,10,"NWR",22.4,"Summer",13,60
"98","Sandwip",1981,"March","26.1","Chittagong",22.29,91.26,22.483,91.417,"29646",31.5,17,"ER",24.25,"Summer",143,80
"99","Satkhira",1981,"March","26.6","Khulna",22.43,89.05,22.717,89.083,"29646",34.3,15.1,"SWR",24.7,"Summer",120,65
"100","Sitakundu",1981,"March","24.4","Chittagong",22.38,91.42,22.583,91.7,"29646",32,15,"ER",23.5,"Summer",NA,NA
"101","Srimangal",1981,"March",NA,"Sylhet",24.18,91.44,24.3,91.73333333,"29646",NA,NA,"ER",NA,"Summer",NA,NA
"102","Sydpur",1981,"March",NA,"Rangpur",25.45,88.55,25.75,88.917,"29646",NA,NA,"NWR",NA,"Summer",NA,NA
"103","Sylhet",1981,"March","23.3","Sylhet",24.54,91.53,24.9,91.883,"29646",33.1,13.9,"ER",23.5,"Summer",109,66
"104","Tangail",1981,"March",NA,"Dhaka",24.15,89.56,24.25,89.933,"29646",NA,NA,"CR w/o Dhaka",NA,"Summer",NA,NA
"105","Teknaf",1981,"March","27.1","Chittagong",20.52,92.18,20.417,92.3,"29646",32,16,"ER",24,"Summer",23,65
"106","Ambagan(Ctg)",1981,"April",NA,"Chittagong",22.13,91.48,22.35,91.817,"29677",NA,NA,"ER",NA,"Summer",NA,NA
"107","Barisal",1981,"April","26.6","Barisal",23.43,90.22,22.717,90.367,"29677",34,18,"SWR",26,"Summer",412,83
"108","Bhola",1981,"April","26.5","Barisal",22.41,90.39,22.683,90.65,"29677",34.1,19,"SWR",26.55,"Summer",415,83
"109","Bogra",1981,"April","25.6","Rajshahi",24.51,89.22,24.85,89.367,"29677",35.6,17.3,"NWR",26.45,"Summer",189,75
"110","Chandpur",1981,"April","26.1","Chittagong",23.14,90.42,23.267,90.7,"29677",33.6,18.1,"ER",25.85,"Summer",893,83
"111","Chittagong (cv/mil)",1981,"April","25.7","Chittagong",22.21,91.49,22.267,91.817,"29677",33,17.8,"ER",25.4,"Summer",279,80
"112","chuadanga",1981,"April",NA,"Khulna",23.39,88.49,23.65,88.8167,"29677",NA,NA,"NWR",NA,"Summer",NA,NA
"113","Comilla",1981,"April","25.6","Chittagong",23.26,91.11,23.433,91.183,"29677",31.9,17.8,"ER",24.85,"Summer",470,81
"114","Cox`s bazar",1981,"April","26.3","Chittagong",21.27,91.58,21.433,91.967,"29677",33,17,"ER",25,"Summer",NA,NA
"115","Dhaka/tejgaon (mil)",1981,"April","26.5","Dhaka",23.47,90.23,23.767,90.383,"29677",35.4,17.2,"Dhaka",26.3,"Summer",274,76
"116","Dinajpur",1981,"April","23.5","Rangpur",25.39,88.41,25.65,88.683,"29677",30.6,13.2,"NWR",21.9,"Summer",78,61
"117","Faridpur",1981,"April","26.3","Dhaka",23.36,89.51,23.617,89.85,"29677",35.5,17,"CR w/o Dhaka",26.25,"Summer",357,78
"118","Feni",1981,"April","26.3","Chittagong",23.02,91.25,23,91.4,"29677",35.4,17.6,"ER",26.5,"Summer",432,80
"119","Hatia",1981,"April",NA,"Chittagong",22.27,91.6,22.433,91.1,"29677",NA,NA,"ER",NA,"Summer",NA,NA
"120","Ishurdi",1981,"April","25.9","Khulna",24.09,89.2,24.15,89.033,"29677",38,17,"NWR",27.5,"Summer",360,73
"121","Jessore (civ/mil)",1981,"April","26.8","Khulna",23.12,89.2,23.183,89.167,"29677",36.8,10.3,"SWR",23.55,"Summer",292,74
"122","Khepupara",1981,"April","27","Barisal",21.59,90.14,21.983,90.233,"29677",33,17,"SWR",25,"Summer",179,77
"123","Khulna",1981,"April","26.5","Khulna",22.47,89.32,22.85,89.567,"29677",35.3,18.8,"SWR",27.05,"Summer",347,81
"124","Kutubdia",1981,"April",NA,"Chittagong",21.49,91.51,21.81666667,91.85,"29677",NA,NA,"ER",NA,"Summer",NA,NA
"125","M.court",1981,"April","26.4","Chittagong",22.52,91.6,22.867,92,"29677",33.3,18.6,"ER",25.95,"Summer",265,81
"126","Madaripur",1981,"April","27.2","Dhaka",23.1,90.11,23.167,90.183,"29677",35,18,"CR w/o Dhaka",26.5,"Summer",340,77
"127","Mongla",1981,"April",NA,"Khulna",22.28,89.36,22.467,89.6,"29677",NA,NA,"SWR",NA,"Summer",NA,NA
"128","Mymensingn",1981,"April","27.2","Dhaka",24.44,90.25,24.717,90.433,"29677",33.9,NA,"CR w/o Dhaka",NA,"Summer",NA,NA
"129","Patuakhali",1981,"April","27.3","Barisal",22.2,90.2,22.33333333,90.33333,"29677",33.6,19.2,"SWR",26.4,"Summer",296,79
"130","Rajshahi",1981,"April","26.1","Rajshahi",24.22,88.42,24.383,88.6,"29677",36.3,16.3,"NWR",26.3,"Summer",240,72
"131","Rangamati",1981,"April","25.5","Chittagong",22.38,92.09,22.633,92.2,"29677",33.8,19.1,"ER",26.45,"Summer",230,79
"132","Rangpur",1981,"April","25","Rangpur",25.44,89.16,25.733,89.233,"29677",33,16.8,"NWR",24.9,"Summer",137,72
"133","Sandwip",1981,"April","26.5","Chittagong",22.29,91.26,22.483,91.417,"29677",32,19,"ER",25.5,"Summer",474,87
"134","Satkhira",1981,"April","28","Khulna",22.43,89.05,22.717,89.083,"29677",36.7,16.7,"SWR",26.7,"Summer",264,73
"135","Sitakundu",1981,"April","26","Chittagong",22.38,91.42,22.583,91.7,"29677",33,17.8,"ER",25.4,"Summer",NA,NA
"136","Srimangal",1981,"April",NA,"Sylhet",24.18,91.44,24.3,91.73333333,"29677",NA,NA,"ER",NA,"Summer",NA,NA
"137","Sydpur",1981,"April",NA,"Rangpur",25.45,88.55,25.75,88.917,"29677",NA,NA,"NWR",NA,"Summer",NA,NA
"138","Sylhet",1981,"April","24.6","Sylhet",24.54,91.53,24.9,91.883,"29677",33.9,17.8,"ER",25.85,"Summer",420,76
"139","Tangail",1981,"April",NA,"Dhaka",24.15,89.56,24.25,89.933,"29677",NA,NA,"CR w/o Dhaka",NA,"Summer",NA,NA
"140","Teknaf",1981,"April","27.6","Chittagong",20.52,92.18,20.417,92.3,"29677",32,14.4,"ER",23.2,"Summer",193,76
"141","Ambagan(Ctg)",1981,"May",NA,"Chittagong",22.13,91.48,22.35,91.817,"29707",NA,NA,"ER",NA,"Summer",NA,NA
"142","Barisal",1981,"May","28","Barisal",23.43,90.22,22.717,90.367,"29707",33.9,20.2,"SWR",27.05,"Summer",280,83
"143","Bhola",1981,"May","27.8","Barisal",22.41,90.39,22.683,90.65,"29707",33.3,21.3,"SWR",27.3,"Summer",258,84
"144","Bogra",1981,"May","27.1","Rajshahi",24.51,89.22,24.85,89.367,"29707",34.5,20,"NWR",27.25,"Summer",240,79
"145","Chandpur",1981,"May","27.5","Chittagong",23.14,90.42,23.267,90.7,"29707",33.5,20.7,"ER",27.1,"Summer",599,83
"146","Chittagong (cv/mil)",1981,"May","27.9","Chittagong",22.21,91.49,22.267,91.817,"29707",33.4,21,"ER",27.2,"Summer",341,78
"147","chuadanga",1981,"May",NA,"Khulna",23.39,88.49,23.65,88.8167,"29707",NA,NA,"NWR",NA,"Summer",NA,NA
"148","Comilla",1981,"May","27.1","Chittagong",23.26,91.11,23.433,91.183,"29707",32.8,19.4,"ER",26.1,"Summer",383,80
"149","Cox`s bazar",1981,"May","28.5","Chittagong",21.27,91.58,21.433,91.967,"29707",33,22,"ER",27.5,"Summer",NA,NA
"150","Dhaka/tejgaon (mil)",1981,"May","27.8","Dhaka",23.47,90.23,23.767,90.383,"29707",35,14.7,"Dhaka",24.85,"Summer",272,78
"151","Dinajpur",1981,"May","24.5","Rangpur",25.39,88.41,25.65,88.683,"29707",32.4,13.8,"NWR",23.1,"Summer",595,57
"152","Faridpur",1981,"May","27.5","Dhaka",23.36,89.51,23.617,89.85,"29707",34.6,20.4,"CR w/o Dhaka",27.5,"Summer",263,81
"153","Feni",1981,"May","27.8","Chittagong",23.02,91.25,23,91.4,"29707",34.2,21,"ER",27.6,"Summer",580,80
"154","Hatia",1981,"May",NA,"Chittagong",22.27,91.6,22.433,91.1,"29707",NA,NA,"ER",NA,"Summer",NA,NA
"155","Ishurdi",1981,"May","27.3","Khulna",24.09,89.2,24.15,89.033,"29707",39,20,"NWR",29.5,"Summer",323,77
"156","Jessore (civ/mil)",1981,"May","28","Khulna",23.12,89.2,23.183,89.167,"29707",35,20,"SWR",27.5,"Summer",234,79
"157","Khepupara",1981,"May","28.6","Barisal",21.59,90.14,21.983,90.233,"29707",33.2,17.3,"SWR",25.25,"Summer",166,79
"158","Khulna",1981,"May","27.5","Khulna",22.47,89.32,22.85,89.567,"29707",34.4,20.2,"SWR",27.3,"Summer",236,84
"159","Kutubdia",1981,"May",NA,"Chittagong",21.49,91.51,21.81666667,91.85,"29707",NA,NA,"ER",NA,"Summer",NA,NA
"160","M.court",1981,"May","28.2","Chittagong",22.52,91.6,22.867,92,"29707",35,20,"ER",27.5,"Summer",488,82
"161","Madaripur",1981,"May","28.8","Dhaka",23.1,90.11,23.167,90.183,"29707",35,20,"CR w/o Dhaka",27.5,"Summer",294,79
"162","Mongla",1981,"May",NA,"Khulna",22.28,89.36,22.467,89.6,"29707",NA,NA,"SWR",NA,"Summer",NA,NA
"163","Mymensingn",1981,"May","28","Dhaka",24.44,90.25,24.717,90.433,"29707",33.9,NA,"CR w/o Dhaka",NA,"Summer",NA,NA
"164","Patuakhali",1981,"May","28.7","Barisal",22.2,90.2,22.33333333,90.33333,"29707",33.6,21.8,"SWR",27.7,"Summer",254,79
"165","Rajshahi",1981,"May","27.4","Rajshahi",24.22,88.42,24.383,88.6,"29707",36.2,19.8,"NWR",28,"Summer",290,79
"166","Rangamati",1981,"May","27.7","Chittagong",22.38,92.09,22.633,92.2,"29707",34.2,21.3,"ER",27.75,"Summer",344,79
"167","Rangpur",1981,"May","26.6","Rangpur",25.44,89.16,25.733,89.233,"29707",33.5,19,"NWR",26.25,"Summer",432,80
"168","Sandwip",1981,"May","28.6","Chittagong",22.29,91.26,22.483,91.417,"29707",32,21.5,"ER",26.75,"Summer",325,87
"169","Satkhira",1981,"May","29","Khulna",22.43,89.05,22.717,89.083,"29707",35,21.1,"SWR",28.05,"Summer",180,76
"170","Sitakundu",1981,"May","28.1","Chittagong",22.38,91.42,22.583,91.7,"29707",35.5,21,"ER",28.25,"Summer",NA,NA
"171","Srimangal",1981,"May",NA,"Sylhet",24.18,91.44,24.3,91.73333333,"29707",NA,NA,"ER",NA,"Summer",NA,NA
"172","Sydpur",1981,"May",NA,"Rangpur",25.45,88.55,25.75,88.917,"29707",NA,NA,"NWR",NA,"Summer",NA,NA
"173","Sylhet",1981,"May","26.1","Sylhet",24.54,91.53,24.9,91.883,"29707",34.4,18.4,"ER",26.4,"Summer",1000,82
"174","Tangail",1981,"May",NA,"Dhaka",24.15,89.56,24.25,89.933,"29707",NA,NA,"CR w/o Dhaka",NA,"Summer",NA,NA
"175","Teknaf",1981,"May","29.3","Chittagong",20.52,92.18,20.417,92.3,"29707",33,22,"ER",27.5,"Summer",259,76
"176","Ambagan(Ctg)",1981,"June",NA,"Chittagong",22.13,91.48,22.35,91.817,"29738",NA,NA,"ER",NA,"Summer",NA,NA
"177","Barisal",1981,"June","28.8","Barisal",23.43,90.22,22.717,90.367,"29738",35,22.9,"SWR",28.95,"Summer",433,85
"178","Bhola",1981,"June","28.4","Barisal",22.41,90.39,22.683,90.65,"29738",34.4,22.3,"SWR",28.35,"Summer",556,86
"179","Bogra",1981,"June","29.2","Rajshahi",24.51,89.22,24.85,89.367,"29738",38.7,22.2,"NWR",30.45,"Summer",193,81
"180","Chandpur",1981,"June","28.8","Chittagong",23.14,90.42,23.267,90.7,"29738",36,23.2,"ER",29.6,"Summer",403,84
"181","Chittagong (cv/mil)",1981,"June","27.9","Chittagong",22.21,91.49,22.267,91.817,"29738",33.4,21,"ER",27.2,"Summer",364,84
"182","chuadanga",1981,"June",NA,"Khulna",23.39,88.49,23.65,88.8167,"29738",NA,NA,"NWR",NA,"Summer",NA,NA
"183","Comilla",1981,"June","28.4","Chittagong",23.26,91.11,23.433,91.183,"29738",33.9,22.7,"ER",28.3,"Summer",315,82
"184","Cox`s bazar",1981,"June","27.5","Chittagong",21.27,91.58,21.433,91.967,"29738",33,22,"ER",27.5,"Summer",NA,NA
"185","Dhaka/tejgaon (mil)",1981,"June","29.4","Dhaka",23.47,90.23,23.767,90.383,"29738",35.9,23.6,"Dhaka",29.75,"Summer",168,80
"186","Dinajpur",1981,"June","26.1","Rangpur",25.39,88.41,25.65,88.683,"29738",35.4,14,"NWR",24.7,"Summer",103,50
"187","Faridpur",1981,"June","28.9","Dhaka",23.36,89.51,23.617,89.85,"29738",36,21.6,"CR w/o Dhaka",28.8,"Summer",283,84
"188","Feni",1981,"June","28.4","Chittagong",23.02,91.25,23,91.4,"29738",34.6,22.1,"ER",28.35,"Summer",463,84
"189","Hatia",1981,"June",NA,"Chittagong",22.27,91.6,22.433,91.1,"29738",NA,NA,"ER",NA,"Summer",NA,NA
"190","Ishurdi",1981,"June","28.8","Khulna",24.09,89.2,24.15,89.033,"29738",37,21,"NWR",29,"Summer",223,81
"191","Jessore (civ/mil)",1981,"June","29.6","Khulna",23.12,89.2,23.183,89.167,"29738",37.5,23,"SWR",30.25,"Summer",124,80
"192","Khepupara",1981,"June","28.7","Barisal",21.59,90.14,21.983,90.233,"29738",36,14,"SWR",25,"Summer",397,83
"193","Khulna",1981,"June","29","Khulna",22.47,89.32,22.85,89.567,"29738",36.2,23,"SWR",29.6,"Summer",227,84
"194","Kutubdia",1981,"June",NA,"Chittagong",21.49,91.51,21.81666667,91.85,"29738",NA,NA,"ER",NA,"Summer",NA,NA
"195","M.court",1981,"June","****","Chittagong",22.52,91.6,22.867,92,"29738",NA,NA,"ER",NA,"Summer",529,NA
"196","Madaripur",1981,"June","29.7","Dhaka",23.1,90.11,23.167,90.183,"29738",36,21,"CR w/o Dhaka",28.5,"Summer",207,81
